Temp./°C;C1_S3;C1_S5;C2_S3;C2_S5;C3_S3;C3_S5;C4_S3;C4_S5;C5_S3;C5_S5;C6_S3;C6_S5;C7_S3;C7_S5;C8_S3;C8_S5;C9_S3;C9_S5;C10_S3;C10_S5
171.34483;     -0.40646;      0.40240;     -0.39637;0.37063;     -0.40388;0.39512;     -0.38646;0.36249;     -0.40474;0.38757;     -0.43123;0.42214;     -0.43233;0.36488;     -0.44855;0.41803;     -0.44976;0.4465;     -0.43221;0.42637
172.34483;     -0.40726;      0.40299;     -0.39704;0.37107;     -0.40449;0.39571;     -0.38723;0.36295;     -0.40504;0.38798;     -0.43347;0.42278;     -0.43587;0.36515;     -0.45120;0.41858;     -0.45251;0.44709;     -0.43413;0.42687
173.34483;     -0.40860;      0.40376;     -0.39759;0.37156;     -0.40504;0.39629;     -0.38783;0.36338;     -0.40522;0.38843;     -0.43591;0.42342;     -0.43805;0.36543;     -0.45437;0.41912;     -0.45533;0.44767;     -0.43678;0.42745
174.34483;     -0.40916;      0.40435;     -0.39808;0.37205;     -0.40544;0.3969;     -0.38827;0.36381;     -0.40533;0.38883;     -0.43853;0.42411;     -0.44089;0.36577;     -0.45770;0.41969;     -0.45875;0.44822;     -0.43966;0.42823
175.34483;     -0.40991;      0.40485;     -0.39838;0.37252;     -0.40574;0.39754;     -0.38859;0.36426;     -0.40530;0.38927;     -0.44117;0.4248;     -0.44321;0.36612;     -0.46134;0.42027;     -0.46218;0.44877;     -0.44311;0.42896
176.34483;     -0.41059;      0.40526;     -0.39850;0.37296;     -0.40593;0.39788;     -0.38878;0.36468;     -0.40518;0.38973;     -0.44371;0.42545;     -0.44462;0.36652;     -0.46482;0.42082;     -0.46605;0.44932;     -0.44739;0.42969
177.34483;     -0.41055;      0.40549;     -0.39850;0.37339;     -0.40595;0.39843;     -0.38878;0.36511;     -0.40499;0.39014;     -0.44606;0.42608;     -0.44562;0.36689;     -0.46849;0.4214;     -0.47019;0.44986;     -0.45169;0.43033
178.34483;     -0.41121;      0.40561;     -0.39839;0.3738;     -0.40584;0.39895;     -0.38862;0.36553;     -0.40469;0.39054;     -0.44816;0.42666;     -0.44568;0.36729;     -0.47193;0.42194;     -0.47418;0.4504;     -0.45626;0.43078
179.34483;     -0.41083;      0.40581;     -0.39821;0.37421;     -0.40556;0.39944;     -0.38833;0.36592;     -0.40438;0.39091;     -0.44972;0.42722;     -0.44503;0.36768;     -0.47475;0.42244;     -0.47802;0.45096;     -0.46115;0.43129
180.34483;     -0.41063;      0.40639;     -0.39796;0.37459;     -0.40522;0.40017;     -0.38796;0.36633;     -0.40405;0.39129;     -0.45063;0.42773;     -0.44335;0.36804;     -0.47704;0.42293;     -0.48027;0.45152;     -0.46568;0.43174
181.34483;     -0.41005;      0.40531;     -0.39773;0.37497;     -0.40478;0.4007;     -0.38752;0.36669;     -0.40371;0.39169;     -0.45094;0.42822;     -0.44084;0.36842;     -0.47829;0.42335;     -0.48029;0.45213;     -0.46916;0.43219
